iter	Passed	Remaining
0	64	32263
1	72	18105
2	77	12880
3	83	10352
4	88	8757
5	93	7728
6	97	6898
7	100	6207
8	106	5814
9	112	5515
10	116	5162
11	119	4864
12	123	4617
13	128	4465
14	135	4375
15	141	4288
16	147	4193
17	155	4170
18	158	4012
19	165	3960
20	169	3869
21	201	4381
22	209	4336
23	215	4272
24	223	4241
25	229	4180
26	235	4126
27	240	4061
28	244	3971
29	249	3905
30	254	3851
31	260	3803
32	266	3777
33	273	3750
34	278	3699
35	284	3669
36	290	3636
37	298	3628
38	305	3605
39	312	3589
40	318	3562
41	324	3539
42	331	3522
43	337	3497
44	343	3476
45	351	3472
46	357	3446
47	363	3423
48	370	3405
49	376	3388
50	382	3368
51	389	3355
52	397	3349
53	402	3327
54	407	3300
55	413	3280
56	420	3264
57	427	3255
58	435	3251
59	441	3240
60	447	3221
61	454	3209
62	462	3210
63	469	3196
64	476	3189
65	483	3177
66	490	3168
67	501	3184
68	508	3179
69	512	3150
70	520	3144
71	527	3137
72	537	3141
73	544	3133
74	554	3139
75	563	3144
76	573	3150
77	583	3156
78	593	3161
79	603	3168
80	610	3160
81	622	3170
82	630	3166
83	637	3159
84	647	3160
85	655	3157
86	664	3155
87	672	3149
88	677	3127
89	686	3127
90	694	3123
91	702	3115
92	710	3111
93	719	3108
94	727	3101
95	735	3093
96	745	3097
97	754	3094
98	762	3089
99	771	3086
100	780	3083
101	789	3079
102	797	3073
103	805	3067
104	813	3061
105	824	3063
106	832	3056
107	840	3049
108	848	3043
109	858	3044
110	866	3036
111	874	3030
112	883	3025
113	891	3019
114	901	3019
115	909	3011
116	917	3001
117	927	3002
118	936	2998
119	943	2989
120	952	2982
121	963	2984
122	971	2978
123	979	2970
124	988	2964
125	995	2956
126	1003	2948
127	1011	2938
128	1019	2931
129	1026	2922
130	1033	2912
131	1042	2904
132	1048	2893
133	1056	2884
134	1063	2876
135	1071	2867
136	1080	2862
137	1087	2852
138	1095	2844
139	1103	2837
140	1110	2828
141	1118	2819
142	1127	2813
143	1134	2803
144	1140	2793
145	1150	2789
146	1158	2781
147	1167	2776
148	1175	2768
149	1183	2762
150	1192	2755
151	1200	2749
152	1208	2740
153	1216	2733
154	1224	2725
155	1232	2718
156	1241	2712
157	1248	2703
158	1255	2691
159	1263	2684
160	1272	2678
161	1280	2672
162	1288	2664
163	1298	2660
164	1305	2651
165	1314	2644
166	1323	2640
167	1332	2632
168	1340	2624
169	1347	2615
170	1356	2609
171	1363	2600
172	1371	2592
173	1381	2589
174	1389	2581
175	1397	2572
176	1403	2561
177	1410	2551
178	1417	2541
179	1425	2533
180	1432	2524
181	1440	2517
182	1448	2509
183	1456	2501
184	1463	2491
185	1470	2483
186	1479	2476
187	1489	2472
188	1498	2465
189	1506	2458
190	1514	2450
191	1521	2440
192	1531	2435
193	1538	2426
194	1548	2422
195	1556	2413
196	1564	2406
197	1574	2401
198	1582	2393
199	1590	2385
200	1598	2377
201	1607	2371
202	1615	2363
203	1623	2355
204	1630	2346
205	1637	2336
206	1645	2328
207	1652	2319
208	1662	2314
209	1670	2307
210	1711	2343
211	1723	2341
212	1732	2334
213	1744	2330
214	1754	2325
215	1762	2317
216	1771	2310
217	1779	2302
218	1791	2298
219	1800	2291
220	1808	2282
221	1816	2274
222	1825	2267
223	1833	2259
224	1842	2252
225	1851	2245
226	1861	2238
227	1871	2232
228	1881	2226
229	1891	2220
230	1899	2212
231	1907	2203
232	1915	2195
233	1924	2187
234	1933	2180
235	1943	2173
236	1951	2165
237	1959	2157
238	1968	2149
239	1977	2142
240	1986	2134
241	1996	2128
242	2003	2118
243	2009	2108
244	2018	2100
245	2026	2092
246	2034	2083
247	2042	2075
248	2050	2067
249	2059	2059
250	2068	2052
251	2076	2043
252	2082	2033
253	2088	2023
254	2095	2013
255	2104	2005
256	2111	1996
257	2118	1987
258	2127	1979
259	2134	1970
260	2143	1963
261	2154	1957
262	2161	1947
263	2168	1938
264	2175	1929
265	2183	1921
266	2190	1911
267	2197	1902
268	2205	1893
269	2213	1885
270	2220	1876
271	2227	1867
272	2236	1859
273	2242	1849
274	2250	1840
275	2258	1832
276	2265	1824
277	2273	1815
278	2281	1806
279	2289	1798
280	2297	1790
281	2305	1781
282	2315	1775
283	2324	1767
284	2332	1759
285	2339	1750
286	2346	1741
287	2353	1732
288	2363	1725
289	2371	1717
290	2379	1708
291	2388	1701
292	2399	1694
293	2406	1686
294	2417	1679
295	2427	1672
296	2436	1665
297	2443	1656
298	2451	1648
299	2460	1640
300	2469	1632
301	2476	1623
302	2484	1615
303	2493	1607
304	2504	1601
305	2513	1593
306	2523	1586
307	2531	1578
308	2541	1570
309	2549	1562
310	2557	1554
311	2565	1545
312	2573	1537
313	2583	1530
314	2592	1522
315	2599	1513
316	2609	1506
317	2616	1497
318	2625	1489
319	2635	1482
320	2644	1474
321	2652	1466
322	2660	1457
323	2666	1448
324	2674	1439
325	2680	1430
326	2689	1423
327	2697	1414
328	2706	1406
329	2714	1398
330	2721	1389
331	2729	1381
332	2738	1373
333	2746	1365
334	2754	1356
335	2762	1348
336	2771	1340
337	2781	1332
338	2788	1324
339	2797	1316
340	2807	1308
341	2816	1301
342	2823	1292
343	2832	1284
344	2840	1276
345	2849	1268
346	2859	1260
347	2869	1253
348	2879	1245
349	2888	1237
350	2896	1229
