age,gender,device_type,ad_position,browsing_history,time_of_day,click
22.0,missing,Desktop,Top,Shopping,Afternoon,1
missing,Male,Desktop,Top,missing,missing,1
41.0,Non-Binary,missing,Side,Education,Night,1
34.0,Male,missing,missing,Entertainment,Evening,1
39.0,Non-Binary,missing,missing,Social Media,Morning,0
missing,Non-Binary,missing,Bottom,Social Media,Evening,1
26.0,Female,Desktop,Top,missing,missing,1
40.0,Male,Mobile,Side,missing,Evening,0
missing,Non-Binary,Mobile,Bottom,Social Media,missing,1
missing,missing,missing,Bottom,Education,Afternoon,1
missing,missing,missing,Bottom,missing,Morning,1
47.0,missing,Mobile,Bottom,missing,Afternoon,1
missing,Non-Binary,Mobile,Side,Education,Afternoon,0
19.0,missing,Desktop,missing,missing,missing,1
missing,missing,Mobile,missing,missing,Morning,1
missing,missing,missing,Top,Entertainment,Afternoon,0
missing,Male,Tablet,Bottom,missing,missing,1
56.0,Female,Tablet,Bottom,News,Morning,1
missing,Male,Desktop,Top,missing,Evening,1
24.0,missing,Tablet,Side,Entertainment,Night,0
missing,missing,Mobile,Bottom,missing,Afternoon,1
52.0,missing,Tablet,Bottom,News,Morning,1
39.0,missing,Desktop,Top,missing,missing,1
42.0,missing,Desktop,Top,missing,Night,1
36.0,missing,Tablet,missing,missing,missing,1
43.0,Male,Tablet,Bottom,Education,Afternoon,1
62.0,missing,Mobile,missing,missing,Night,0
45.0,Male,missing,missing,Education,Morning,1
37.0,Female,missing,Top,Entertainment,Evening,1
missing,Non-Binary,Desktop,Bottom,Entertainment,missing,1
31.0,missing,Tablet,Top,missing,Morning,1
26.0,Female,Mobile,Top,missing,Afternoon,1
missing,Male,Tablet,Side,missing,missing,1
37.0,Male,Mobile,Top,News,Evening,0
missing,missing,Mobile,Top,Entertainment,Afternoon,0
24.0,missing,Mobile,Bottom,missing,Night,1
58.0,Non-Binary,Mobile,Side,missing,Evening,1
59.0,missing,Tablet,Top,missing,missing,1
26.0,Non-Binary,Tablet,Top,missing,Morning,1
missing,Non-Binary,missing,Bottom,missing,Evening,1
missing,missing,Mobile,missing,missing,Night,1
40.0,missing,Mobile,missing,News,missing,1
missing,missing,Desktop,missing,Shopping,Afternoon,0
48.0,missing,Mobile,Side,News,Night,1
missing,missing,Desktop,Side,missing,Morning,1
52.0,Female,Desktop,Bottom,missing,Afternoon,1
missing,missing,Desktop,Side,missing,Night,0
missing,missing,missing,Bottom,missing,Afternoon,1
missing,Male,Tablet,Side,Social Media,missing,1
missing,Male,missing,Side,Social Media,missing,1
38.0,missing,missing,missing,Social Media,Afternoon,1
58.0,Male,Tablet,Bottom,missing,missing,1
49.0,Male,Mobile,Top,News,Morning,1
missing,missing,Mobile,Top,Entertainment,missing,0
30.0,missing,missing,Side,Entertainment,Night,1
missing,Male,missing,Side,Shopping,Afternoon,1
46.0,missing,Desktop,missing,Education,Evening,1
42.0,missing,Mobile,Top,missing,Evening,0
41.0,Female,missing,missing,missing,Night,0
missing,Non-Binary,Desktop,Top,missing,missing,0
missing,Non-Binary,Tablet,missing,missing,Morning,0
missing,missing,Tablet,Top,Education,Morning,1
58.0,Male,missing,Bottom,Social Media,Evening,1
missing,missing,Mobile,Top,Entertainment,Afternoon,1
missing,Male,Mobile,missing,missing,Morning,0
54.0,Male,Desktop,Top,missing,Night,1
missing,Female,Desktop,missing,missing,Evening,1
missing,Non-Binary,Mobile,Bottom,Education,Evening,1
24.0,missing,Mobile,Bottom,missing,Night,1
missing,missing,missing,Bottom,News,Afternoon,1
44.0,Non-Binary,missing,Side,Shopping,Morning,1
missing,Female,Tablet,missing,missing,Evening,0
48.0,missing,Desktop,Top,Shopping,Evening,0
27.0,Non-Binary,missing,Bottom,missing,Night,1
missing,missing,Desktop,Top,missing,Afternoon,1
57.0,missing,Desktop,missing,missing,Morning,1
missing,missing,missing,Bottom,Social Media,Morning,1
missing,missing,Tablet,missing,missing,missing,0
missing,missing,Desktop,Top,missing,Afternoon,0
28.0,missing,Mobile,Side,missing,Afternoon,1
missing,Male,Tablet,Top,News,Afternoon,1
52.0,Female,missing,Bottom,Shopping,Afternoon,1
missing,missing,Desktop,Bottom,Education,Morning,1
22.0,Female,Desktop,missing,Entertainment,Evening,0
43.0,missing,Desktop,missing,Social Media,Morning,1
51.0,missing,missing,Top,missing,missing,0
missing,Male,Tablet,Top,News,Afternoon,1
missing,Male,Tablet,missing,News,Morning,1
missing,Male,Desktop,Side,missing,Night,1
missing,missing,Mobile,Side,missing,Night,0
missing,missing,Desktop,missing,Education,missing,1
missing,missing,missing,Top,missing,Night,1
missing,missing,Mobile,Top,Social Media,Morning,1
missing,Non-Binary,Tablet,Side,missing,Afternoon,0
missing,Female,Tablet,Top,Social Media,missing,0
19.0,missing,Mobile,Side,missing,Night,0
missing,missing,Mobile,Side,News,missing,0
25.0,Male,Tablet,missing,News,Evening,0
missing,missing,missing,missing,missing,Morning,1
missing,missing,Mobile,Top,missing,Morning,1
19.0,missing,Mobile,Bottom,missing,Afternoon,0
41.0,Male,Desktop,missing,Entertainment,Afternoon,1
59.0,Female,Desktop,Bottom,Social Media,Morning,0
missing,Female,Desktop,Top,Entertainment,Morning,1
45.0,Female,Desktop,Side,missing,Afternoon,0
19.0,missing,missing,Side,missing,missing,1
missing,Male,Tablet,Bottom,Social Media,Afternoon,0
missing,Male,Desktop,Top,missing,Night,0
34.0,Male,Desktop,Top,News,missing,1
missing,Male,Tablet,missing,missing,Morning,1
